HomeTeam,AwayTeam,Date
Arsenal,Burnley,2026-05-17
Aston Villa,Liverpool,2026-05-17
Bournemouth,Man City,2026-05-17
Brentford,Crystal Palace,2026-05-17
Chelsea,Tottenham,2026-05-17
Everton,Sunderland,2026-05-17
Leeds,Brighton,2026-05-17
Man United,Nott'm Forest,2026-05-17
Newcastle,West Ham,2026-05-17
Wolves,Fulham,2026-05-17
Crystal Palace,Man City,2026-05-22
Brighton,Man United,2026-05-24
Burnley,Wolves,2026-05-24
Crystal Palace,Arsenal,2026-05-24
Fulham,Newcastle,2026-05-24
Liverpool,Brentford,2026-05-24
Man City,Aston Villa,2026-05-24
Nott'm Forest,Bournemouth,2026-05-24
Sunderland,Chelsea,2026-05-24
Tottenham,Everton,2026-05-24
West Ham,Leeds,2026-05-24
